,$> [que des espaces],,,,OK,OK,,0,
,$> [que des tabulations],,,,OK,OK,,0,Crl + V + Tab
,$> :,,,,OK,OK,,0,"Marche aussi pour ""#"""
,$> !,,,,OK,OK,,1,
,$> >,,,,OK,OK,"bash: syntax error near
unexpected token `newline'
$>",2,
,$> <,,,,OK,OK,,2,
,$> >>,,,,OK,OK,,2,
,$> <<,,,,OK,OK,,2,
,$> <>,,,,OK,OK,,2,
,$> >>>>>,,,,OK,OK,"bash: syntax error near
unexpected token `>>'
$>",2,
,$> >>>>>>>>>>>>>>>,,,,OK,OK,"bash: syntax error near
unexpected token `>>'
$>",2,
,$> <<<<<,,,,OK,OK,"bash: syntax error near
unexpected token `<<'
$>",2,
,$> <<<<<<<<<<<<<<<<,,,,OK,OK,"bash: syntax error near
unexpected token `<<'
$>",2,
,$> > > > >,,,,OK,OK,"bash: syntax error near
unexpected token `>'
$>",2,Marche aussi pour <
,$> >> >> >> >>,,,,OK,OK,"bash: syntax error near
unexpected token `>>'
$>",2,Marche aussi pour <
,$> >>>> >> >> >>,,,,OK,OK,"bash: syntax error near
unexpected token `>>'
$>",2,Marche aussi pour <
,$> /,,,,OK,OK,"bash: /: Is a directory
$>",126,
,$> //,,,,OK,OK,"bash: //: Is a directory
$>",126,
,$> /.,,,,OK,OK,"bash: /.: Is a directory
$>",126,
,$> /./../../../../..,,,,OK,OK,"bash: /./../../../../..: Is a directory
$>",126,
,$> ///////,,,,OK,OK,"bash: ///////: Is a directory
$>",126,
,$> \\,NON GERE,,,OK,OK,bash: \: command not found,127,
,$> \\\\,NON GERE,,,OK,OK,bash: \\: command not found,127,
,$> \\\\\\\\,NON GERE,,,OK,OK,bash: \\\\: command not found,127,
,$> -,,,,OK,OK,"bash: -: command not found
$>",127,"Marche aussi pour ""_@°]=+£$?"""
,$> |,,,,OK,OK,"bash: syntax error near
unexpected token `|'
$>",2,"Marche aussi pour les metacharacters ""&();"""
,$> | hola,,,,OK,OK,"bash: syntax error near
unexpected token `|'
$>",2,
,$> | | |,,,,OK,OK,"bash: syntax error near
unexpected token `|'
$>",2,
,$> ||,,,,OK,OK,"bash: syntax error near
unexpected token `||'
$>",2,
,$> |||||,,,,OK,OK,"bash: syntax error near
unexpected token `||'
$>",2,
,$> |||||||||||||,,,,OK,OK,"bash: syntax error near
unexpected token `||'
$>",2,
,$> >>|><,,,,OK,OK,"bash: syntax error near
unexpected token `|'
$>",2,
,$> &&,,,,OK,OK,"bash: syntax error near
unexpected token `&&'
$>",2,
,$> &&&&&,,,,OK,OK,"bash: syntax error near
unexpected token `&&'
$>",2,
,$> &&&&&&&&&&&&&&,,,,OK,OK,"bash: syntax error near
unexpected token `&&'
$>",2,
,$> ;;,NON GERE,,,OK,OK,"bash: syntax error near
unexpected token `;;'
$>",2,
,$> ;;;;;,NON GERE,,,OK,OK,"bash: syntax error near
unexpected token `;;'
$>",2,
,$> ;;;;;;;;;;;;;;;,NON GERE,,,OK,OK,"bash: syntax error near
unexpected token `;;'
$>",2,
